코드,저장소CD,식품명,구입수량,구입일,유통기간
P00129,3,생선초밥(모듬),9,2024-01-20,2024-01-27
P00130,3,소고기국밥,5,2024-01-28,2024-02-11
P00131,3,소고기김밥,7,2024-01-20,2024-01-25
P00132,2,송이덮밥,3,2024-01-21,2024-02-04
P00133,3,숯불갈비 삼각김밥,3,2024-01-25,2024-02-05
P00134,3,약초비빔밥,7,2024-01-23,2024-01-30
P00135,1,연어롤,1,2024-01-28,2024-02-08
P00136,3,연어초밥,10,2024-01-23,2024-02-03
P00137,4,오곡밥,3,2024-01-27,2024-02-01
P00138,3,자장밥,9,2024-01-25,2024-02-06
P00139,5,잡탕밥,6,2024-01-22,2024-02-03
P00140,1,장어덮밥,2,2024-01-21,2024-02-01
P00141,1,장어초밥,7,2024-01-26,2024-02-10
P00142,4,참치덮밥,10,2024-01-21,2024-02-02
P00143,2,참치마요네즈 삼각김밥,7,2024-01-26,2024-02-05
P00144,3,충무김밥,3,2024-01-24,2024-01-29
P00145,4,캘리포니아롤,3,2024-01-28,2024-02-06
P00146,4,한치초밥,7,2024-01-28,2024-02-12
P00147,4,해물덮밥,4,2024-01-19,2024-02-03
P00148,5,해물볶음밥,2,2024-01-26,2024-02-05
P00149,2,회덮밥,8,2024-01-22,2024-01-27
P00150,4,깻잎나물볶음,7,2024-01-20,2024-01-29
P00151,4,돼지고기볶음,2,2024-01-19,2024-01-27
P00152,1,돼지껍데기볶음,2,2024-01-20,2024-01-26
P00153,3,두부김치,9,2024-01-21,2024-01-27
P00154,4,머위나물볶음,5,2024-01-23,2024-02-06
P00155,4,멸치풋고추볶음,10,2024-01-23,2024-02-06
P00156,1,소세지볶음,3,2024-01-21,2024-01-27
P00157,3,순대볶음,2,2024-01-22,2024-01-30
P00158,3,양송이버섯볶음,5,2024-01-21,2024-01-27
P00159,2,오삼불고기,2,2024-01-22,2024-01-27
P00160,1,주꾸미볶음,1,2024-01-27,2024-02-06
P00161,5,표고버섯볶음,5,2024-01-27,2024-02-01
P00162,5,해물볶음,2,2024-01-27,2024-02-08
P00163,4,곰보빵,7,2024-01-28,2024-02-05
P00164,5,만주,10,2024-01-19,2024-01-31
P00165,4,버터크림빵,6,2024-01-21,2024-02-04
P00166,3,불고기피자,2,2024-01-23,2024-02-01
P00167,4,참치샌드위치,8,2024-01-19,2024-01-28
P00168,4,찹쌀도우넛,10,2024-01-23,2024-01-29
P00169,5,채소고로케,6,2024-01-22,2024-01-30
P00170,3,초콜릿케이크,6,2024-01-22,2024-02-03
P00171,4,치즈케이크,9,2024-01-26,2024-02-05
P00172,3,치즈피자,10,2024-01-27,2024-02-04
P00173,3,페이스트리빵,10,2024-01-25,2024-01-31
P00174,4,페퍼로니피자,7,2024-01-25,2024-02-01
P00175,3,포테이토피자,8,2024-01-27,2024-02-08
P00176,3,수정과,4,2024-01-19,2024-01-24
P00177,4,식혜,5,2024-01-20,2024-01-29
P00178,5,간장마늘쫑장아찌,1,2024-01-26,2024-02-03
P00179,3,고추장마늘쫑장아찌,5,2024-01-27,2024-02-01
P00180,3,매실장아찌,1,2024-01-21,2024-01-29
P00181,4,무장아찌,8,2024-01-19,2024-01-30
P00182,5,계적,10,2024-01-28,2024-02-10
P00183,3,낙지꼬지,3,2024-01-23,2024-01-31
P00184,5,돔베기적,4,2024-01-27,2024-02-09
P00185,5,소고기산적,6,2024-01-23,2024-02-06
P00186,4,소라산적,9,2024-01-22,2024-02-05
P00187,5,오징어산적,6,2024-01-20,2024-01-26
P00188,1,홍어적,9,2024-01-26,2024-02-07
P00189,4,홍합산적,6,2024-01-19,2024-01-24
P00190,3,가자미전,9,2024-01-25,2024-02-03
P00191,4,고추전,4,2024-01-23,2024-02-05
P00192,2,굴전,2,2024-01-25,2024-02-07
P00193,1,깻잎전,6,2024-01-22,2024-01-28
P00194,1,녹두빈대떡,8,2024-01-22,2024-01-29
P00195,5,동그랑땡(육원전),4,2024-01-25,2024-02-09
P00196,1,동태전,3,2024-01-26,2024-02-07
P00197,4,두부전,10,2024-01-20,2024-01-30
P00198,3,미나리전,2,2024-01-23,2024-02-04
P00199,4,배추전,9,2024-01-27,2024-02-05
P00200,1,버섯전,7,2024-01-21,2024-02-04
