거래일자,거래시각,거래구분,상품명,수량,가격
2024-02-15,13:05:28,1,에쎄클래식,64,1844
2024-02-15,13:09:02,1,입안가득초코칩,74,983
2024-02-17,13:09:12,1,(신)허쉬드링크,91,393
2024-02-18,13:10:55,1,버터링,65,655
2024-02-18,13:12:34,1,디스(갑),83,1475
2024-02-18,13:15:31,1,입안가득초코칩,81,983
2024-02-19,13:20:39,1,초코틴틴,81,655
2024-02-19,13:22:27,1,홈런볼초코,77,1967
2024-02-20,13:22:59,1,홈런볼초코(소),50,655
2024-02-21,13:23:27,2,초코틴틴,73,1000
2024-02-21,13:40:14,2,컨디션파워,99,4500
2024-02-22,13:40:41,2,디스플러스(갑),91,2100
2024-02-22,13:42:28,2,인디고,54,2500
2024-02-22,13:43:42,2,샤브레,76,1200
2024-02-22,13:45:47,2,심플(갑),88,2300
2024-02-23,13:48:47,2,후렌치파이딸기,62,2500
2024-02-24,13:50:33,2,버터링,90,1000
2024-02-24,13:57:13,2,타임리스타임(갑),76,2300
2024-02-25,13:58:35,2,타임리스타임(갑),50,2300
2024-02-26,13:59:04,2,에이스(소),79,700
2024-02-26,14:08:19,2,바나나우유,66,1000
2024-03-02,14:13:46,2,로크럭스,88,2500
2024-03-03,14:13:55,2,빅썬사과,82,500
2024-03-05,14:20:12,2,바밤바,69,500
2024-03-06,14:20:57,2,요플레딸기100g,65,700
2024-03-06,14:25:14,2,화이트엔젤큐티,72,1500
2024-03-07,14:25:41,2,신라면큰사발,65,900
2024-03-07,14:44:56,2,에쎄클래식,93,2500
2024-03-07,14:51:38,2,로크럭스,86,2500
2024-03-07,14:56:27,2,인디고,74,2500
2024-03-07,15:01:30,2,부라보(바닐라),74,1000
2024-03-08,15:03:33,2,자유시간,96,500
2024-03-08,15:04:47,2,바나나우유,99,1000
2024-03-09,15:06:14,1,자연애통밀,78,786
2024-03-11,15:10:26,1,뉴롤리폴리,98,655
2024-03-12,15:11:49,1,홈런볼초코(소),66,655
2024-03-12,15:18:48,1,홈런볼초코(소),64,655
2024-03-14,15:21:32,1,오예스,89,2098
2024-03-16,15:22:31,1,홈런볼초코(소),77,655
2024-03-17,15:23:12,1,타임리스타임(갑),61,1696
2024-03-18,15:24:35,1,심플(갑),72,1696
2024-03-18,15:28:48,1,오예스,80,2098
2024-03-19,15:34:30,1,부라보(초코),89,549
2024-03-20,15:36:55,1,브라우니,52,655
2024-03-20,15:38:17,1,오예스브라우니,86,655
2024-03-21,15:38:18,1,미사랑,58,655
2024-03-22,15:44:09,1,초코픽,95,524
2024-03-22,15:45:20,1,티피,89,459
2024-03-23,15:46:47,1,입안가득초코칩,62,983
2024-03-23,15:46:59,1,뉴롤리폴리,66,655
2024-03-24,15:52:58,1,햇쌀,97,1311
2024-03-24,15:53:31,1,인디고,100,1844
2024-03-25,15:55:54,1,소보로,80,655
2024-03-25,15:56:03,1,부라보(바닐라),76,549
2024-03-26,15:57:06,1,연양갱,84,327
2024-03-26,15:58:52,1,아카시아후레쉬,72,737
2024-03-28,15:59:50,1,바밤바,74,274
2024-03-28,16:01:04,1,땅콩그래,82,655
2024-03-29,16:05:48,1,티피,91,459
2024-03-29,16:09:34,1,디스(갑),71,1475
2024-04-01,16:10:51,1,입안가득초코칩,81,983
2024-04-01,16:13:45,1,땅콩그래,50,655
2024-04-01,16:18:37,1,인디고,69,1844
2024-04-02,16:21:46,1,빅썬사과,53,213
2024-04-03,16:30:55,1,헬로엔요190ml,85,368
2024-04-03,16:30:57,1,빅썬사과,55,213
2024-04-04,16:35:05,1,로크럭스,53,1844
2024-04-04,16:37:36,1,레종후레시,98,1844
2024-04-06,16:40:11,1,땅콩그래,56,655
2024-04-06,16:46:30,1,부라보(초코),85,549
2024-04-06,16:51:01,2,연양갱,59,500
2024-04-08,16:52:03,2,뉴롤리폴리,95,1000
2024-04-08,16:53:37,2,브라우니,57,1000
2024-04-09,17:00:21,2,호두마루,69,700
2024-04-11,17:02:46,2,자유시간,70,500
2024-04-12,17:03:49,2,로크럭스,83,2500
2024-04-12,17:05:12,2,순두유230ml,75,1300
2024-04-12,17:11:03,2,신라면큰사발,81,900
2024-04-13,17:14:44,2,은단청후레쉬,56,3000
2024-04-13,17:27:59,2,디스(갑),90,2000
2024-04-15,17:29:20,2,인디고,74,2500
2024-04-17,17:33:25,2,미사랑,99,1000
2024-04-17,17:35:31,2,레종후레시,77,2500
2024-04-18,17:36:55,2,오미오미누룽지,53,1000
2024-04-18,17:39:36,2,컨디션파워,51,4500
2024-04-19,17:47:10,2,심플(갑),83,2300
2024-04-21,17:49:13,2,호두마루,87,700
2024-04-21,17:54:49,2,브라우니,97,1000
2024-04-22,17:55:14,2,로크럭스,64,2500
2024-04-23,17:57:24,2,입안가득초코칩,58,1500
2024-04-25,17:57:34,2,브라우니,96,1000
2024-04-26,18:00:40,2,입안가득초코칩,75,1500
2024-04-26,18:01:22,2,심플(갑),82,2300
2024-04-28,18:02:04,2,레종후레시,76,2500
2024-04-28,18:04:08,2,에이스,76,2000
2024-04-28,18:04:52,2,후렌치파이딸기,73,2500
2024-04-28,18:09:22,1,디스(갑),99,1475
2024-04-28,18:10:56,1,심플(갑),55,1696
2024-05-01,18:12:31,1,오예스브라우니,69,655
2024-05-02,18:16:21,1,레종후레시,68,1844
2024-05-03,18:17:17,1,오미오미누룽지,61,655
2024-05-04,8:26:48,1,컨디션파워,77,1393
2024-05-04,8:28:08,1,티피,57,459
2024-05-04,8:28:12,1,미사랑,58,655
2024-05-06,8:29:26,1,화이트엔젤큐티,55,983
2024-05-07,8:31:20,1,로크럭스,70,1844
2024-05-07,8:32:24,1,호두마루,67,384
2024-05-08,8:33:19,1,아카시아후레쉬,61,737
2024-05-09,8:37:43,1,홈런볼초코(소),72,655
2024-05-09,8:39:52,1,미니자유시간,59,1311
2024-05-09,8:40:09,1,바밤바,73,274
2024-05-09,8:44:20,1,브라우니,100,655
2024-05-10,8:45:35,1,컨디션파워,60,1393
2024-05-11,8:47:55,1,디스플러스(갑),84,1549
2024-05-11,8:48:21,1,바나나우유,64,491
2024-05-13,9:00:13,1,브라우니,83,655
2024-05-13,9:02:45,1,레종후레시,90,1844
2024-05-15,9:04:53,1,심플(갑),70,1696
2024-05-15,9:08:27,1,요플레딸기100g,78,315
2024-05-15,9:11:34,1,홈런볼초코,63,1967
2024-05-15,9:17:42,1,요플레딸기100g,67,315
2024-05-17,9:18:32,1,미니자유시간,55,1311
2024-05-17,9:20:28,1,인디고,54,1844
2024-05-18,9:22:47,1,레종후레시,80,1844
2024-05-19,9:24:22,1,헬로엔요190ml,80,368
2024-05-21,9:26:14,2,홈런볼초코,77,3000
2024-05-22,9:27:03,2,햇쌀,84,2000
2024-05-22,9:36:56,2,티피500,93,500
2024-05-22,9:39:23,2,심플(갑),66,2300
2024-05-22,9:46:54,2,디스(갑),85,2000
2024-05-23,9:47:20,2,미사랑,53,1000
2024-05-24,9:50:10,2,초코틴틴,61,1000
2024-05-24,9:51:07,2,로크럭스,80,2500
2024-05-24,9:52:29,2,타임리스타임(갑),90,2300
2024-05-25,9:52:45,2,요플레딸기100g,71,700
2024-05-25,9:54:42,2,에이스,64,2000
2024-05-26,9:56:55,2,티피500,58,500
2024-05-26,9:58:08,2,홈런볼초코,82,3000
2024-05-29,10:04:19,2,오미오미누룽지,67,1000
2024-05-29,10:05:29,2,초코픽,93,800
2024-05-29,10:08:14,2,입안가득초코칩,67,1500
2024-06-01,10:10:56,2,디스플러스(갑),50,2100
2024-06-02,10:14:26,2,인디고,87,2500
2024-06-02,10:16:45,2,홈런볼초코(소),61,1000
2024-06-03,10:19:53,2,레종후레시,60,2500
2024-06-04,10:20:33,2,초코픽,81,800
2024-06-04,10:20:35,2,뉴롤리폴리,54,1000
2024-06-05,10:22:31,2,은단청후레쉬,69,3000
2024-06-06,10:26:04,2,브라우니,70,1000
2024-06-07,10:28:41,2,브라우니,61,1000
2024-06-07,10:29:17,2,연양갱,90,500
2024-06-08,10:39:59,2,빅썬사과,69,500
2024-06-08,10:42:47,2,(신)허쉬드링크,53,800
2024-06-08,10:43:36,2,호두마루,69,700
2024-06-10,10:45:13,2,심플(갑),96,2300
2024-06-10,10:46:42,2,에이스,57,2000
2024-06-11,10:47:16,2,화이트엔젤큐티,57,1500
2024-06-12,10:54:39,2,에쎄클래식,95,2500
2024-06-14,10:56:38,2,디스(갑),62,2000
2024-06-14,10:57:22,2,부라보(바닐라),65,1000
2024-06-14,10:58:27,2,컨디션,55,2500
2024-06-15,10:58:46,2,컨디션파워,95,4500
2024-06-15,11:03:11,2,에쎄클래식,54,2500
2024-06-16,11:07:19,2,인디고,63,2500
2024-06-16,11:07:58,2,은단청후레쉬,77,3000
2024-06-18,11:08:37,2,컨디션파워,57,4500
2024-06-19,11:12:50,2,땅콩그래,93,1000
2024-06-21,11:13:21,1,빅썬사과,97,213
2024-06-22,11:14:12,1,화이트엔젤큐티,73,983
2024-06-22,11:14:40,1,부라보(초코),74,549
2024-06-22,11:15:31,1,버터링,81,655
2024-06-23,11:16:26,1,브라우니,98,655
2024-06-24,11:16:31,1,부라보(초코),70,549
2024-06-24,11:21:55,1,헬로엔요190ml,58,368
2024-06-26,11:25:37,1,부라보(초코),82,549
2024-06-26,11:27:25,1,쌍쌍바,90,384
2024-06-28,11:32:04,1,자유시간,73,327
2024-07-01,11:35:43,1,브라우니,53,655
2024-07-01,11:35:52,1,소보로,65,655
2024-07-01,11:38:29,1,인디고,63,1844
2024-07-02,11:40:17,1,부라보(바닐라),100,549
2024-07-02,11:40:40,1,소보로,91,655
2024-07-02,11:44:17,1,초코틴틴,73,655
2024-07-03,11:45:58,1,컨디션,96,1229
2024-07-04,11:49:12,1,브라우니,61,655
2024-07-05,11:54:50,1,아카시아후레쉬,92,737
2024-07-06,11:57:52,1,타임리스타임(갑),65,1696
2024-07-06,12:00:23,1,티피,57,459
2024-07-06,12:01:08,1,브라우니,79,655
2024-07-07,12:01:39,1,심플(갑),95,1696
2024-07-07,12:04:48,1,초코픽,61,524
2024-07-08,12:05:32,1,레종후레시,69,1844
2024-07-09,12:09:14,1,인디고,84,1844
2024-07-09,12:09:21,1,아카시아후레쉬,99,737
2024-07-09,12:13:46,2,브라우니,95,1000
2024-07-10,12:16:06,2,에쎄클래식,100,2500
2024-07-10,12:17:33,2,연양갱,96,500
2024-07-12,12:23:28,2,오예스브라우니,83,1000
2024-07-13,12:28:13,2,컨디션파워,94,4500
2024-07-14,12:32:02,2,에쎄클래식,89,2500
2024-07-15,12:33:21,2,미사랑,53,1000
2024-07-15,12:35:08,2,미사랑,94,1000
2024-07-15,12:35:40,2,자연애통밀,61,1200
2024-07-16,12:35:43,2,컨디션파워,97,4500
2024-07-17,12:36:25,2,로크럭스,66,2500
2024-07-18,12:39:11,2,레종후레시,90,2500
2024-07-18,12:41:20,2,오예스,91,3200
2024-07-18,12:41:44,2,헬로엔요190ml,84,1000
2024-07-19,12:44:44,2,자유시간,62,500
2024-07-19,12:45:13,2,로크럭스,78,2500
2024-07-19,12:45:25,2,입안가득초코칩,78,1500
2024-07-20,12:46:49,2,바나나우유,82,1000
2024-07-20,12:48:00,2,요플레딸기100g,91,700
2024-07-22,12:58:09,2,에쎄클래식,75,2500
2024-07-23,12:58:41,2,디스(갑),89,2000
2024-07-23,13:00:32,2,티피,81,700
2024-07-23,13:01:09,2,에이스(소),87,700
2024-07-24,13:05:54,2,바나나우유,84,1000
2024-07-25,13:09:02,2,에이스(소),58,700
2024-07-25,13:09:38,2,디스플러스(갑),63,2100
2024-07-25,13:12:14,2,빅썬사과,50,500
2024-07-26,13:13:05,2,부라보(바닐라),82,1000
2024-07-27,13:17:38,1,컨디션파워,80,1393
2024-07-28,13:20:12,1,자유시간,87,327
2024-07-29,13:23:29,1,레종후레시,83,1844
2024-07-29,13:38:45,1,입안가득초코칩,84,983
2024-07-29,13:41:22,1,바밤바,82,274
2024-08-01,13:46:28,1,뉴롤리폴리,94,655
2024-08-02,13:46:31,1,에이스,95,1311
2024-08-02,13:54:01,1,에쎄클래식,64,1844
2024-08-03,14:02:55,1,티피500,62,327
2024-08-06,14:11:26,1,소보로,94,655
2024-08-08,14:11:27,1,호두마루,51,384
2024-08-08,14:14:59,1,티피500,95,327
2024-08-09,14:24:41,1,바밤바,92,274
2024-08-09,14:29:18,1,자유시간,72,327
2024-08-10,14:29:33,1,초코틴틴,69,655
2024-08-11,14:33:19,1,에이스(소),83,459
2024-08-11,14:36:55,1,순두유230ml,76,614
2024-08-12,14:50:23,1,초코틴틴,67,655
2024-08-13,14:52:47,1,은단청후레쉬,87,737
2024-08-14,14:53:24,1,빅썬사과,76,213
2024-08-16,14:54:05,1,입안가득초코칩,58,983
2024-08-17,14:54:19,1,땅콩그래,67,655
2024-08-17,15:04:55,1,미사랑,56,655
2024-08-18,15:05:02,1,초코픽,87,524
2024-08-18,15:05:25,1,땅콩그래,59,655
2024-08-18,15:14:16,1,타임리스타임(갑),57,1696
2024-08-18,15:15:49,1,땅콩그래,88,655
2024-08-19,15:16:11,1,컨디션,100,1229
2024-08-20,15:24:32,1,신라면큰사발,57,532
2024-08-21,15:26:54,1,에쎄클래식,99,1844
2024-08-21,15:27:15,1,바나나우유,79,491
2024-08-22,15:32:36,1,부라보(초코),89,549
2024-08-22,15:33:36,1,미니자유시간,100,1311
2024-08-22,15:36:55,1,디스플러스(갑),91,1549
2024-08-23,15:37:49,1,에이스,85,1311
2024-08-23,15:40:52,1,요플레딸기100g,51,315
2024-08-23,15:44:19,1,레종후레시,81,1844
2024-08-23,15:59:11,1,순두유230ml,76,614
2024-08-24,16:00:00,1,타임리스타임(갑),87,1696
2024-08-24,16:01:18,1,오예스브라우니,73,655
2024-08-25,16:01:46,1,쌍쌍바,72,384
2024-08-25,16:02:15,1,인디고,84,1844
2024-08-25,16:03:40,1,레종후레시,70,1844
2024-08-26,16:04:54,1,자유시간,68,327
2024-08-28,16:05:48,1,빅썬사과,83,213
2024-08-28,16:07:01,1,디스(갑),82,1475
2024-09-01,16:07:43,1,햇쌀,52,1311
2024-09-02,16:15:33,1,햇쌀,96,1311
2024-09-02,16:18:59,1,쌍쌍바,59,384
2024-09-02,16:19:29,2,화이트엔젤큐티,76,1500
2024-09-03,16:20:13,2,티피,87,700
2024-09-03,16:20:24,2,연양갱,100,500
2024-09-05,16:22:16,2,티피500,76,500
2024-09-05,16:24:50,2,호두마루,59,700
2024-09-05,16:30:34,2,디스플러스(갑),54,2100
2024-09-05,16:31:08,2,레종후레시,99,2500
2024-09-07,16:31:45,2,초코틴틴,85,1000
2024-09-07,16:33:34,2,부라보(초코),99,1000
2024-09-07,16:33:56,2,땅콩그래,95,1000
2024-09-08,16:35:16,2,컨디션,81,2500
2024-09-08,16:36:13,2,브라우니,91,1000
2024-09-09,16:37:10,2,땅콩그래,51,1000
2024-09-10,16:42:36,2,오예스,58,3200
2024-09-10,16:46:06,2,로크럭스,59,2500
2024-09-10,16:47:11,2,초코틴틴,73,1000
2024-09-10,16:48:04,2,오예스브라우니,97,1000
2024-09-11,16:50:13,2,뉴롤리폴리,62,1000
2024-09-11,16:50:53,2,오미오미누룽지,57,1000
2024-09-11,16:54:08,2,인디고,89,2500
2024-09-12,16:54:57,2,바밤바,64,500
2024-09-13,16:55:59,2,에이스(소),54,700
2024-09-13,17:09:22,2,오예스브라우니,58,1000
2024-09-14,17:12:57,2,인디고,95,2500
2024-09-15,17:21:05,2,초코픽,99,800
2024-09-15,17:23:02,2,티피500,92,500
2024-09-16,17:28:33,2,오미오미누룽지,95,1000
2024-09-16,17:31:19,2,디스플러스(갑),80,2100
2024-09-17,17:32:05,2,로크럭스,96,2500
2024-09-17,17:32:30,2,빅썬사과,79,500
2024-09-21,17:33:40,2,뉴롤리폴리,53,1000
2024-09-21,17:43:37,2,미사랑,76,1000
2024-09-21,17:45:58,2,컨디션,69,2500
2024-09-23,17:48:07,2,홈런볼초코(소),81,1000
2024-09-24,17:49:03,2,미사랑,88,1000
2024-09-24,17:51:22,2,쌍쌍바,95,700
2024-09-25,17:57:17,2,후렌치파이딸기,76,2500
2024-09-25,18:02:34,2,신라면큰사발,55,900
2024-09-26,18:03:12,2,입안가득초코칩,86,1500
2024-09-26,18:05:50,2,티피,69,700
2024-09-26,18:08:38,2,티피,76,700
2024-09-27,18:11:22,1,인디고,98,1844
2024-09-27,18:20:04,1,홈런볼초코,62,1967
2024-09-27,18:21:24,1,샤브레,92,786
2024-09-27,18:29:43,1,뉴롤리폴리,66,655
2024-09-28,18:33:14,1,햇쌀,58,1311
2024-09-28,18:35:05,1,자유시간,66,327
2024-09-28,18:35:29,1,빅썬사과,82,213
2024-10-01,18:35:31,1,오예스브라우니,74,655
2024-10-01,18:44:18,1,컨디션파워,84,1393
2024-10-02,18:45:09,1,티피500,72,327
2024-10-03,18:49:43,1,소보로,87,655
2024-10-04,18:51:55,1,초코픽,54,524
2024-10-04,18:56:51,1,디스(갑),63,1475
2024-10-04,18:59:03,1,미니자유시간,99,1311
2024-10-06,18:59:09,1,헬로엔요190ml,87,368
2024-10-07,19:04:14,1,바나나우유,63,491
2024-10-09,19:04:42,1,미니자유시간,56,1311
2024-10-10,19:11:03,1,홈런볼초코(소),53,655
2024-10-10,19:11:37,1,에이스,90,1311
2024-10-14,19:13:33,1,타임리스타임(갑),80,1696
2024-10-14,19:14:01,1,미사랑,100,655
2024-10-15,19:14:29,1,에쎄클래식,63,1844
2024-10-15,19:15:25,1,오예스,83,2098
2024-10-16,19:16:07,1,티피,99,459
2024-10-16,19:18:56,1,샤브레,82,786
2024-10-16,19:22:16,1,컨디션파워,72,1393
2024-10-17,19:29:35,1,쌍쌍바,72,384
2024-10-18,19:31:46,1,은단청후레쉬,64,737
2024-10-18,19:32:30,1,오예스브라우니,66,655
2024-10-18,19:41:52,1,타임리스타임(갑),89,1696
2024-10-19,19:54:32,1,미니자유시간,58,1311
2024-10-21,20:02:13,1,미니자유시간,89,1311
2024-10-22,20:03:16,1,오미오미누룽지,77,655
2024-10-22,20:07:11,1,소보로,87,655
2024-10-22,20:09:27,1,초코틴틴,83,655
2024-10-22,20:13:03,1,소보로,89,655
2024-10-22,20:14:01,1,컨디션파워,80,1393
2024-10-22,20:14:19,1,버터링,72,655
2024-10-23,20:16:14,1,연양갱,52,327
2024-10-24,20:17:44,1,아카시아후레쉬,76,737
2024-10-25,20:20:44,1,브라우니,87,655
2024-10-25,20:22:18,1,자연애통밀,50,786
2024-10-26,20:23:22,1,신라면큰사발,90,532
2024-10-28,20:27:46,1,에이스(소),69,459
2024-10-28,20:29:06,1,디스플러스(갑),98,1549
2024-10-29,20:35:47,1,화이트엔젤큐티,81,983
2024-11-01,20:36:05,1,컨디션,85,1229
2024-11-01,20:39:03,1,홈런볼초코,67,1967
2024-11-02,20:41:19,2,오미오미누룽지,63,1000
2024-11-03,20:42:30,2,디스플러스(갑),100,2100
2024-11-05,20:46:42,2,샤브레,60,1200
2024-11-06,20:52:32,2,컨디션파워,61,4500
2024-11-06,20:54:30,2,신라면큰사발,69,900
2024-11-07,20:55:53,2,미사랑,89,1000
2024-11-08,20:57:07,2,에쎄클래식,84,2500
2024-11-10,20:57:50,2,입안가득초코칩,89,1500
2024-11-10,20:58:05,2,부라보(바닐라),69,1000
2024-11-11,21:01:23,2,타임리스타임(갑),63,2300
2024-11-11,21:04:18,2,에쎄클래식,77,2500
2024-11-12,21:05:27,2,로크럭스,56,2500
2024-11-12,21:08:23,2,순두유230ml,74,1300
2024-11-12,21:08:44,2,레종후레시,97,2500
2024-11-13,21:10:29,2,디스(갑),95,2000
2024-11-13,21:10:41,2,타임리스타임(갑),92,2300
2024-11-14,21:14:20,2,땅콩그래,60,1000
2024-11-16,21:14:33,2,미사랑,89,1000
2024-11-16,21:19:32,2,레종후레시,65,2500
2024-11-17,21:19:45,2,뉴롤리폴리,79,1000
2024-11-17,21:20:39,2,티피,71,700
2024-11-19,21:24:52,2,은단청후레쉬,62,3000
2024-11-21,21:25:18,2,인디고,88,2500
2024-11-22,21:29:26,2,연양갱,73,500
2024-11-22,21:32:24,2,버터링,51,1000
2024-11-25,21:32:59,2,에이스(소),65,700
2024-11-25,21:34:12,2,샤브레,71,1200
2024-11-26,21:35:49,2,신라면큰사발,79,900
2024-11-26,21:44:59,2,자유시간,56,500
2024-11-26,21:48:40,2,샤브레,81,1200
2024-12-01,21:55:56,2,땅콩그래,66,1000
2024-12-01,21:57:51,2,연양갱,59,500
2024-12-01,21:59:15,2,인디고,74,2500
2024-12-02,22:03:01,2,바밤바,93,500
2024-12-02,22:04:12,2,부라보(바닐라),83,1000
2024-12-03,22:05:52,2,헬로엔요190ml,90,1000
2024-12-03,22:10:18,2,부라보(초코),63,1000
2024-12-04,22:11:26,2,타임리스타임(갑),89,2300
2024-12-04,22:16:56,2,땅콩그래,67,1000
2024-12-04,22:25:24,2,쌍쌍바,85,700
2024-12-05,22:26:03,2,요플레딸기100g,76,700
2024-12-05,22:28:55,2,심플(갑),84,2300
2024-12-06,22:36:00,2,햇쌀,57,2000
2024-12-06,22:37:13,2,오예스브라우니,88,1000
2024-12-07,22:39:08,1,뉴롤리폴리,90,655
2024-12-08,22:40:02,1,디스플러스(갑),84,1549
2024-12-08,22:40:41,1,신라면큰사발,81,532
2024-12-08,22:41:36,1,바밤바,50,274
2024-12-09,22:41:39,1,미사랑,92,655
2024-12-09,22:50:19,1,에쎄클래식,83,1844
2024-12-10,22:51:04,1,티피500,72,327
2024-12-11,22:55:19,1,자연애통밀,86,786
2024-12-11,22:57:58,1,미니자유시간,58,1311
2024-12-11,23:09:55,1,초코픽,93,524
2024-12-11,23:11:31,1,쌍쌍바,59,384
2024-12-12,23:25:20,1,화이트엔젤큐티,60,983
2024-12-13,23:26:33,1,오미오미누룽지,52,655
2024-12-14,23:28:11,1,햇쌀,53,1311
2024-12-15,23:29:34,1,오예스브라우니,93,655
2024-12-16,23:30:26,1,입안가득초코칩,73,983
2024-12-16,23:31:00,1,초코픽,57,524
2024-12-17,23:31:16,1,순두유230ml,59,614
2024-12-17,23:34:35,1,신라면큰사발,65,532
2024-12-18,23:34:58,1,빅썬사과,97,213
2024-12-19,23:36:23,1,브라우니,92,655
2024-12-21,23:39:20,1,부라보(초코),52,549
2024-12-21,23:42:32,1,땅콩그래,50,655
2024-12-22,23:44:25,1,바밤바,73,274
2024-12-22,23:44:49,1,미니자유시간,67,1311
2024-12-23,23:47:49,1,헬로엔요190ml,65,368
2024-12-24,23:51:31,1,후렌치파이딸기,51,1639
2024-12-24,23:55:33,1,요플레딸기100g,55,315
2024-12-25,23:57:54,1,에이스(소),91,459
2024-12-26,23:58:07,1,입안가득초코칩,73,983
2024-12-28,23:59:32,1,디스플러스(갑),85,1549
2024-12-29,23:59:34,1,(신)허쉬드링크,89,393
